val_start,val_end,test_start,test_end,r2_val,mse_val,mse_test,r2_test,method,best_alpha,best_l1_ratio,huber_val,optimal_components
2003-01-31,2004-01-30,2004-02-27,2004-12-31,-0.07235073426322969,0.023422048316375805,0.013106019221605175,-0.009699328361244985,OLS_H,,,,
2005-01-31,2005-12-30,2006-01-31,2006-12-29,-0.0003639116268585596,0.011399903865845011,0.01077430779482516,-0.0076935092300556285,OLS_H,,,,
2007-01-31,2007-12-31,2008-01-31,2009-01-30,-0.018469395224852025,0.011152074626715212,0.03235572040054451,-0.08647214446454243,OLS_H,,,,
2009-02-27,2010-01-29,2010-02-26,2010-12-31,-0.04566440023971241,0.038348522964113715,0.016350009289549536,-0.016772184290833048,OLS_H,,,,
2011-01-31,2011-12-30,2012-01-31,2012-12-31,-0.018006118430069495,0.014485122856261266,0.012564006199162562,-0.0032126562373331335,OLS_H,,,,
2013-01-31,2013-12-31,2014-01-31,2015-01-30,-0.022971088396271266,0.011282039564964909,0.011265720122651052,-0.00935783264774126,OLS_H,,,,
2015-02-27,2016-01-29,2016-02-29,2016-12-30,-0.024907639508178203,0.01496086807393971,0.015445763385746134,-0.014622305037691019,OLS_H,,,,
2017-01-31,2017-12-29,2018-01-31,2018-12-31,-0.004229164796962337,0.011522735386759532,0.01462735991011948,-0.03444954560249225,OLS_H,,,,
2019-01-31,2019-12-31,2020-01-31,2021-01-29,-0.004067263478140903,0.018137229336607042,0.040039831455501,-0.012618911161714763,OLS_H,,,,
,,1996-01-31,1996-12-31,-0.003425121307373047,0.018366478383541107,0.020660946145653725,0.0033017992973327637,EN,0.0001,0.1,,
,,1998-02-27,1999-01-29,0.0064231157302856445,0.022231746464967728,0.03424755856394768,0.0018346309661865234,EN,0.0001,0.1,,
,,2000-01-31,2000-12-29,-0.0010950565338134766,0.036748725920915604,0.05077172443270683,-0.0035893917083740234,EN,0.0001,0.9,,
,,2002-01-31,2002-12-31,0.0018507838249206543,0.05173058435320854,0.030956845730543137,0.0004343986511230469,EN,0.0001,0.1,,
,,2004-02-27,2004-12-31,-0.06635308265686035,0.023291047662496567,0.012991270050406456,-0.0008589029312133789,EN,0.01,0.5,,
,,2006-01-31,2006-12-29,0.0011810660362243652,0.011382297612726688,0.010722423903644085,-0.0028409957885742188,EN,0.001,0.5,,
,,2008-01-31,2009-01-30,-0.013366222381591797,0.011096196249127388,0.03251226618885994,-0.0917288064956665,EN,0.01,0.1,,
,,2010-02-26,2010-12-31,-0.039980530738830566,0.03814006969332695,0.016331873834133148,-0.015644431114196777,EN,0.01,0.5,,
,,2012-01-31,2012-12-31,-0.018384099006652832,0.014490501023828983,0.012518092058598995,0.00045359134674072266,EN,0.001,0.5,,
,,2014-01-31,2015-01-30,-0.020033836364746094,0.011249645613133907,0.011231952346861362,-0.0063323974609375,EN,0.001,0.5,,
,,2016-02-29,2016-12-30,-0.02541959285736084,0.01496834121644497,0.015427862294018269,-0.013446331024169922,EN,0.001,0.1,,
,,2018-01-31,2018-12-31,-0.00043451786041259766,0.011479193344712257,0.01460030023008585,-0.03253591060638428,EN,0.01,0.1,,
,,2020-01-31,2021-01-29,-0.0023468732833862305,0.01810615137219429,0.03993871062994003,-0.010061502456665039,EN,0.001,0.9,,
,,1996-01-31,1996-12-31,-0.008816123008728027,,0.02075354941189289,-0.0011653900146484375,EN_H,0.01,0.9,0.018465154,
,,1998-02-27,1999-01-29,-0.001307368278503418,,0.034384243190288544,-0.0021491050720214844,EN_H,0.01,0.9,0.02240472,
,,2000-01-31,2000-12-29,-0.0022678375244140625,,0.05094056949019432,-0.006927013397216797,EN_H,0.01,0.9,0.03596004,
,,2002-01-31,2002-12-31,-0.0018538236618041992,,0.03129751980304718,-0.010565638542175293,EN_H,0.01,0.9,0.05036575,
,,2004-02-27,2004-12-31,-0.06635308265686035,,0.012991270050406456,-0.0008589029312133789,EN_H,0.01,0.9,0.023288788,
,,2006-01-31,2006-12-29,-0.0030471086502075195,,0.010707462206482887,-0.0014417171478271484,EN_H,0.01,0.9,0.011430481,
,,2008-01-31,2009-01-30,-0.01558542251586914,,0.03255723789334297,-0.09323883056640625,EN_H,0.01,0.9,0.011120496,
,,2010-02-26,2010-12-31,-0.039980530738830566,,0.016331873834133148,-0.015644431114196777,EN_H,0.01,0.9,0.037931032,
,,2012-01-31,2012-12-31,-0.0208204984664917,,0.01254142727702856,-0.0014096498489379883,EN_H,0.01,0.9,0.014525168,
,,2014-01-31,2015-01-30,-0.023317694664001465,,0.011238588020205498,-0.006927013397216797,EN_H,0.01,0.9,0.011285862,
,,2016-02-29,2016-12-30,-0.03170895576477051,,0.015388241969048977,-0.010843753814697266,EN_H,0.01,0.9,0.015060149,
,,2018-01-31,2018-12-31,-0.0006388425827026367,,0.014622395858168602,-0.03409850597381592,EN_H,0.01,0.9,0.0114815375,
,,2020-01-31,2021-01-29,-0.0034328699111938477,,0.0398876778781414,-0.00877082347869873,EN_H,0.01,0.9,0.01812577,
,,1996-01-31,1996-12-31,,,0.04006686409109646,-0.013302574329800976,PCR,,,,6.0
,,1998-02-27,1999-01-29,,,0.040002819590697375,-0.01168287040242344,PCR,,,,6.0
,,2000-01-31,2000-12-29,,,0.04001683641371071,-0.01203735990804189,PCR,,,,6.0
,,2002-01-31,2002-12-31,,,0.04002785229261565,-0.012315954669725793,PCR,,,,6.0
,,2004-02-27,2004-12-31,,,0.04006140154842,-0.01316442504654658,PCR,,,,6.0
,,2006-01-31,2006-12-29,,,0.03992715665648501,-0.009769332925559038,PCR,,,,6.0
,,2008-01-31,2009-01-30,,,0.03993599739109247,-0.00999291765922683,PCR,,,,6.0
,,2010-02-26,2010-12-31,,,0.04005495232467082,-0.013001322313759278,PCR,,,,6.0
,,2012-01-31,2012-12-31,,,0.03995376146541908,-0.010442176233714129,PCR,,,,6.0
,,2014-01-31,2015-01-30,,,0.039981513936550375,-0.011144044250572582,PCR,,,,6.0
,,2016-02-29,2016-12-30,,,0.03997581868482324,-0.011000009688161061,PCR,,,,6.0
,,2018-01-31,2018-12-31,,,0.03999791157025861,-0.011558745146846627,PCR,,,,6.0
,,2020-01-31,2021-01-29,,,0.04002297211175884,-0.012192533485223978,PCR,,,,6.0
